,reference,translation
1487,Why you been acting so messed up towards me?,why did you treat me like shit?
1488,Don't shoot your mouth off without proof.,don't talk without proof.
1489,"You're not smart, huh?","you're not too smart, are you?"
1490,You got me taking it up the ass from Antwon. Ramming cars to keep us out of prison.,you make me jump as Antwon Mitchell squeezes and dispose of cars so we don't go to jail.
1491,"But if I don't reachmy friend in time, then he dies.","but if I don't get to my partner in time, she's gonna die."
1492,"""Avi, who gives a shit?","""Avi, who cares?"
1493,"And the people you care most deeply about, they'll die.",and the people you're most worried about... they die.
1494,"I assumed it was bound to happen, Since barry was such a douche.",I assumed it was because Barry was an asshole.
1495,"Jesus, Ava.","damn it, Ava..."
1496,Do I look crazy or something?,do I look like a fool or what?
1497,I never want to see you again.,I don't want to see you anymore.
1498,Throw out the white flag.,drop the white flag.
1499,It sounds fucking awful.,sounds terrible.
1500,Once a dirty cop always a dirty cop.,"a corrupt cop once, still a dirty cop."
1501,"Last week, some people left some trash behind... candy wrappers, coffee cups, and empty chip bags.","last week, there were some people after each other for garbage... wrapper wraps, coffee cups, and empty chips from chips."
1502,I don't want the fuckin' thing in the house!,I don't want it in the house.
1503,How the hell could he say no after that?,how could they have told me after all this?
1504,"I want to see this process working by tonight, or you're going to watch your friend die.","I want to see this process work, or you will be watching as your friend dies."
1505,"What you going to do about it, faggot?",what are you gonna do about it?
1506,One of the shots caught her.,she took a bullet.
1507,"Until I burn him, the war will not end, Comrade Colonel.","if I don't iron him, the war will not end, Comrade Colonel."
1508,"Garcia stabbed from the side, sticking his knife completely through one neck, then the other.","Garcia stabbed them in the neck, first one, then the other."
1509,"Me and my homeboy are in some serious fucking shit, man. We're in a car, and we got to get off the road pronto.",me and my buddy are in the car and we need to get off the road quickly.
1510,I'm always foolish this time of year.,every year by this time I feel like crazy.
1511,You little punk!,you little bastard!
1512,"She can't die after Soneji, you idiot!",he can't die after Soneji.
1513,Just stop talking about your lush pubic bush.,just stop talking about your wild birds.
1514,You two are like dogs Circling each other in the park.,you two are like dogs circling around in the park.
1515,Black Dynamite's balls is all Black Dynamite has in this life.,that's all that Black Dynamite's life has in life.
1516,You set the ambush to make sure I'd get killed.,you made an ambush to secure my death.
1517,So we start cracking them whips... and driving them cheeky bulls all the way across the land... to that place they call'em Darwin.,"and so they ratted up the whips, and we started taking the damn bulls across the ground to a town called Darwin."
1518,"These, uh, crummy flowers.",these fucking flowers.
1519,The fool's got nine lives.,the oven has nine lives.
1520,"Dino: Damn, you look fine.","wow, you look good."
1521,"You know,cedric would get dirty.","you know, Cedric gets dirty."
1522,A damn traitor?,a traitor?
1523,How much does the bastard know about it?,how much does he know about him?
1524,Get it off!,get off him!
1525,"Why, you son of a...",you son of a...
1526,"No matter what Patrick did, Brad kept saying his dad would kill him.","no matter what Patrick said, Brad stood on the point that his dad would have killed him."
1527,"Look, I give you the wrong information, you shoot me, right?","look, if I give you bad information, you'll shoot me."
1528,They've given us a bleeding ring!,they even gave us a fucking ring!
1529,It's dirty.,he's dirty.
1530,He said he wanted to fight ten people.,he says he wants to fight ten.
1531,Do you think I enjoy ... ... being a ... ... pain in a neck?,you think I like being a pain in the ass?
1532,They're bothering me.,they're fucking annoying me.
1533,The mountains and precipices that cursed.,the mountains... and the damned contestants.
1534,"Men like him don't want you to say yes, they want you to say, ""I'm listening.""","men like him don't want you to say yes, but they want you to say, ""I'll fuck you."""
1535,"Frak, my gun's jammed.","shit, my guns are stuck."
1536,Ungrateful mutt. And I'm talking about Sheila.,and I'm talking about Sheila.
1537,"She is a transvestite, isn't she?","he's a transvestite, right?"
1538,"Tell him you're jumping before you're pushed, although we were going to push you, but not because ofpress pressure but because ofyour deeply held fucking personal issues, whatever they were.","tell him you're coming alone and we were really about to kick you out, but not for the media pressure, but because you have the terribly serious personal reasons you think."
1539,The old miser!,that old cheapskate!
1540,"""And stop burgling his bloody office.""","""and stop robbing his office"" God."
1541,That's because you're used to looking at Rosemary and seeing a sexual being.,that's because you saw Rosemary as being a sexual lust.
1542,It's so ugly.,she's ugly.
1543,You'd love it if I popped you... ...got your name in the papers right next to mine.,"you want me to shoot you, don't you? Have your name in the paper next to me."
1544,Is he saying he was going to kill him?,like he wants to kill daddy?
1545,Trying to get rid of these moles.,I'm trying to get rid of the moles.
1546,We scored the junk.,we got junk.
1547,Tell her that Urban Cowboy is for pussies.,tell her the Cowboy out of town is for baby.
1548,I wanna see him break a brick.,I want to see how he breaks a brick!
1549,"I mean, she's... ...cold and superficial.",she's such... cold and shallow.
1550,"He had heard his father's crazy ideas before, and knew the Old Duke would follow through, regardless of common sense.","he had heard some of his father's foolish idea, and he knew the duke would insist on her, even if she had come to terms with common sense."
1551,Then I would tell you to get a gun or leave town... ...because when I leave here I'll chase you until your heels smoke!,"then I'd say you could get a gun or drive out of town...... because when I get out of here, I'll walk you through when you smoke from the soles!"
1552,100 balls to less than 20?,a hundred to twenty?
1553,I can't get past those guards without my lesbian strength.,"without my lesbian power, I'm not going through those guards."
1554,I'm here about the murder.,I'm here to murder.
1555,Your tractors uprooted my tree. Your posse hunted my family. Your gunmen kidnapped my nephew.,"your trackers chased my tree, your men chased my family, your shooter kidnapped my nephew, your rat insulted my wife, and you shot my tail off!"
1556,Muscovite is a thin type of rock formation.,muskovite is a very thin kind of donkey.
1557,Monkey! Monkey!,"come on, monkey!"
1558,"Anyway, she gives him the sacred whatever it is... ...telling him this is a sacred traditional offering... ...given to the man who ties the first sheaf... ...the last sheaf, who the fuck knows what sheaf?","otherwise, he'll give him something sacred... and he'll say it's a sacred tradition to offer... men who weld the first snoop... the last snoop, who knows what snoop is?"
1559,They made a hero out of you.,those idiots made you a hero.
1560,"""Poor hands,"" Catherine said.","""my hands are pathetic,"" Catherine said."
1561,I should've buried it with her.,I should have buried her with that ring.
1562,Another Cylon copy.,"you're an imitation, a copy."
1563,"Well, you were happy enough to let Dig take the kill shot when it was Slade threatening your family.",you were happy when Dig was going to shoot Slade when he threatened your family.
1564,It's so obvious that he dies.,it's clear he's going to die.
1565,"Christ, you're a real ding-a-ling.","oh, my God, you're crazy."
1566,Run the dang ball.,go with the damn ball.
1567,"Quiet, you.",you shut up.
1568,God ain't. Where the hell's that girl?,where the hell's the girl?
1569,"I know this puts a crimp in your scoop, but Henry Banks is the Tarot Card Serial Killer.","I know it's a little messed up, but Henry Banks is a Froot Killer."
1570,"First, he moons the camera, now he's beating people up.","in front of the camera, he shows off his naked butt and now he's hitting people."
1571,Who's the ruddynit who's broke my tank downstairs?,where's the damn dog that broke my aquarium?
1572,You being a robot.,you're a robot.
1573,We don't need such a gypsie like you in our village.,we don't want any of those gypsies in the village.
1574,Simmer the snipers.,boil the snipers.
1575,"If I had not killed it, it would have refused you the divorce. and you nor would not have sung, neither made films, nor liked","if I hadn't killed him, he wouldn't have chosen a divorce, and you wouldn't even sing or make movies or love."
1576,"Yeah, yeah, they're fkne.","yeah, yeah, they're fine."
1577,"Even free of bondage, I am no spirit able to pass through fucking gate.","even if I'm not bound, I'm not the soul that's allowed to pass through the gate."
1578,So you the reason I've been stuck down here in this shithole? Shithole?,so you're the reason I was stuck in this dump?
1579,"Kasedre's mad eyes glittered and blinked when she casually named a lord his ancestor, dead a hundred years.","Kasedrea's crazy eyes glittered as he casually uttered the name of his predecessor, dead for more than a century."
1580,"""Ay,"" returned the knight, ""I have sworn an oath, indeed, thou chucklehead; but thyself shalt swear a greater.","""yes,"" the knight replied, ""I have sworn an oath, you chicken brain, but you make a more perceptive oath."
1581,Who's doing what?,what the hell is that?
1582,"It's my friend, it's my couch and it's my freaking life.","he's my friend, my couch and my damn life!"
1583,"Uh-huh. When you raise your hand to your head, the blood drains from it.","if you raise your hand to the forehead, you'll bleed to death."
1584,"Where did you learn to drive a bus, anyway?",where the hell did you learn to drive a bus?
1585,"Get in the car. - Open the door, Lite!","open the fucking door, Lite!"
1586,And he's not gonna sit and wait for the dinner bell to ring.,he's not just sitting on his butt and waiting for me to call him for dinner.
1587,That menu stinks of laziness.,from that menu there's a sense of laziness.
1588,"Bassoons, basset horns... like a rusty squeezebox.","fags, bayonets horns, like the sound of a rusty accordion."
1589,"In that case, they must have been petty and narrow-minded","in that case, they must have been both stupid and petty."
1590,"If we're gonna eat it, I'd better get to the killin' and skinnin'.","if we eat it, I should go into killing and skinning."
1591,You think I'm some Belle all a-tizzy because my hoop skirt got stuck in my hair?,do you think I'm some stupid Belle because my skirt is stuck in my hair?
1592,He's saying some shit about not wanting to be an agent anymore.,he was talking about the fact that he doesn't want an agent.
1593,I will not stay here and be insulted by this rubbish.,I'm not going to be insulted by a beard.
1594,You're just mad because your stupid pebble theory didn't work out.,you're upset that you didn't come out with a card theory.
1595,"They're just so fucking theatrical, right?","they're just so dramatic, aren't they?"
1596,So do me a favour. Fuck off home! Now!,do me a favor and get out of here!
1597,"She run me down the street with a razor. She says she's a tonsorial artist. Kind of high-toned, huh?",she didn't go down the street with her British. She says she's a barber. She's a hothead.
1598,"When he goes down in the mine, we'il just blow him up.","if it comes down to the mine, we blow it."
1599,Stefan said we should bury her in the woods.,Stefan said we should burn her in the woods.
1600,"You can fucking have her, mate. Bring your rubber gloves next time and we'll fucking go twos up, eh?","next time, bring your rubber gloves and we'll both drive it."
1601,"Maine has crazy laws, that's all.",we have crazy laws in Maine.
1602,"Look, you've got Freslin boiling in your brain.","hey, it's Freslin in your head."
1603,You guys bring out the worst in me.,you boys are giving me the worst.
1604,"""It must kill your knee,"" he said to Danny.","""I bet you cut your knee right here,"" he said to Danny."
1605,"For God's sakes, man, you have bungled this from the start!","for God's sake, man, you screwed up!"
1606,Another shot of you and the chanting masses.,take a shot at you and the chanting crowd.
1607,"They asked if she would try to kill him, and she pretended to be outraged by the very idea.",they asked if he would try to kill him; she pretended to be insulted by the idea.
1608,"You were meant to be quite thoroughly dead too, but you missed the boat.”","you were supposed to be dead, too, but you missed your flight. """
1609,I'm not gonna let Junior hunt for a lunatic by himself.,I'm not gonna let Junior chase him alone.
1610,My cockle.,my clams.
1611,Death is too... Forgiving a punishment.,death would be a deliverance for you.
1612,I nearly punched you.,I almost hit you.
1613,"Ah well, that's much more sensible than just Thorfinn getting killed.","oh well, that's much more meaningful than just killing Thoroughbred."
1614,"You little shit, he thought.","you poor thing, he thought."
1615,You must stay focused when you are killing a person!,you have to stay focused if you kill!
1616,"I was gonna say ""tool.""","I was gonna say ""jerk."""
1617,Where you have to have somebody even in a theme park.,when do you have to have sex with someone in the middle of an amusement park?
1618,Hello Prague.,"hello, Pig!"
1619,"Silence, boy!","shut up, boy."
1620,"I'll look like an idiot. Besides, the new tenants pay more rent.","besides, the new tenants are paying more."
1621,Let the Americans do their own dirty work. - They can't.,let the Americans do their dirty work.
1622,Fuck off out of my sight!,get out of my sight!
1623,"I just call it ""boneing.""","I call it ""fucking."""
1624,And clueless.,and stupid.
1625,Such is the method of a Southern coward.,those are the methods of Southern Cops.
1626,"We fucking did it, Ari.","we did it, Ari."
1627,Why would I give itto a vulgarian like you?,why would I have to give it to a guy like you?
1628,"They kill Lemansky, she pins it on Vic.","they're gonna kill Lemansky, and she's gonna throw it to Vic."
1629,But that did not sit well with her because no one talks shit about her beloved father.,"but he shouldn't have told her that, 'cause no one is allowed to swear on her beloved father."
1630,Last night I masturbated into a grapefruit.,last night I was maxed with grapefruit.
1631,And that he'd be killed very quickly if we didn't act.,and they'll kill him soon if we don't act.
1632,Existence is accompanied... ...by an inevitable background noise called anguish... ...which we can only half bear. But don't despair.,the existence is riddled with an inevitable fuck that they call an anxiety...... that we can only partially endure.
1633,"Lot of energy, lot of focus. Shut up!","lots of power, a lot of concentration."
1634,Madre Magda told me to die.,mother Magda told me you died.
1635,"Yes, if I could catch it or kill it, which I can't.",except I can't catch him and kill him!
1636,"I had to live with you... ...and now I might die with you, and it's not fucking fair!","I had to live with you, now I may die with you, and that's not fair!"
1637,"Put you on a reservation Black nation Die underyour step and fetch a military lie-- The bodies of two men found under the Hollywood Freeway have been identified as rap starJeriko One and band memberJames Polton, known to fans as Replay.","book the Bodies 2 men found below the Hollywood Freeway, has been identified as a rap star named Jeriko One and a member of the band, James Polton, known to its fans as Replay."
1638,"So that's my spiel, as the Jews say.","and that is my filth, as the Jews say."
1639,"If it is so funny, show at what you can.","if you're so ridiculous, show what you can."
1640,"Kaye knew she had been as much a part of this disaster as Saul, as responsible for it through her own ignorance.","she knew that she had participated in this disaster along with Saul, that she was guilty of her ignorance."
1641,Shit. I didn't know he would call you.,I didn't know he was gonna call you.
1642,"I expect this proposal, for changing the definition of the word fag, to be both discerning and undisputable.","I expect the proposal to change the definition of the word ""faggot"" will be justified and undeniable."
1643,"Oh, well then I do love a BLACK man!","oh, well then, I love black people!"
1644,I promise. I promise I will.,I swear I'd kill myself.
1645,I called you at once because he's going to ruin himself.,I called you right away because he's gonna kill him.
1646,"Good God, they're being slaughtered.","good God, they were massacred."
1647,"Lizzie may be my kid sister, but she's saved my ass more times than I can count.","Lizzie may be my little sister, but she saved my neck more times than I can count."
1648,"Where was you actually, when Frank Me at the sewing?",where were you when Frank was fucking with me?
1649,"That's because they're a bunch of stubborn, root-sucking... jackasses holding onto traditions that are a thousand years old.",that's because it's a bunch of stubborn fanatical lookalikes... who hold on to the traditions of thousands of years.
1650,"The punks didn't show. The girl didn't show, the townspeople didn't show.","the trash didn't come, the girl didn't show up, and people from the city didn't either."
1651,We're both dead.,we both die.
1652,Does anybody want their sucked by a towel?,does anyone want to smoke him out of the towel?
1653,Why were Americans so damned noisy?,why are Americans so loud?
1654,Brilliant. Fucking brilliant.,very good. Very good.
1655,You could've been killed.,you could have killed yourself.
1656,These lands are dangerous: full of foul rebels and brigands.',"these countries are dangerous; there are plenty of dirty rebels and robberies. """
1657,Disappear completely from the face of the earth!,you will completely disappear from the face of the earth!
1658,We haunt you.,we hunt you.
1659,Now sit down and hush up!,sit down and shut up!
1660,What the fuck are you doing ?,what are you doing out there?
1661,"“Come on, Bobby,” the black girl said.","""come on, Bobby,"" said the black woman."
1662,"Togusa, if you're still alive, arrest those two garbage men.","Togusa, if you're still alive, arrest these two ashtrays."
1663,"monopoly on that, but there are plenty of religious kooks.","there's a monopoly on that, but there's a lot of religious crazies."
1664,"Other than that, I've been a pretty damn good husband.","besides, I was a damn good husband."
1665,I'm throwin' crap at a warehouse.,I put up a mess on the warehouse.
1666,Mao taught me in 1 963... if I have nuclear weapons... let 400 million Chinese die... 300 million will be left.,"Mao told me in '63 that if I killed 400 million Chinese, 300 million would be left."
1667,She looks like the kind of person who might do craft in front of morning TV.,she looks like a bitch who might be putting on TV in the morning.
1668,"Vicious rumors I was responsible for her first husband's death, fucking woman invites me to her wedding.",the detractors claim that I was responsible for the death of her first husband.
1669,You think you can come here and do this shit in front of my kids?,you think you can just come in here and...... make this mess in front of my kids?
1670,I like that you're smart... and you're interesting... and you don't take shit from people... and I like who I am when I'm with you.,I like that you're smart... and you're interesting... and you don't take a shit on my head.
1671,"Well, give it to him now before the fat starts dripping out his eyeballs.","give it to him now, before the fat starts to trickle out of his eyes."
1672,"I don't care about your damn safe house, Jones.","I don't care about your safe house, Jones."
1673,How the heck did it get in there?,how the hell did he get there?
1674,My wife is locked up with a woman who has the pox.,my wife's locked up with a woman who's got smallpox.
1675,You didn't have a goddamn thing.,we didn't even have a thing.
1676,An eminent professor is found with his throat cut and it's reported as a robbery.,a prominent professor will be found with his throat slit and marks out for a robbery.
1677,I bet you pull that stunt with your father all the time.,I bet you pull this shit together all the time with your dad.
1678,We need to be five miles and a long trot headin' in the opposite direction of those things.,"we should be five miles from here and get the hell out of here, in the opposite direction, away from the bastards."
1679,I want you inside me.,I want you to be first.
1680,"""You are also the cheapest man who ever lived and a profane drunkard.""","""you're also the most ruthless guy who's ever lived, and a cold one too."""
1681,"What they're gonna be wondering is who tried to educate your sorry ass, and when that finger of blame points in my direction, I had damn sure better be in a coma from the anger stroke I suffered after you last tried to hug me.","they'll be surprised who taught him so badly, and when they start pointing fingers at me, I hope I'm in a coma from the way you tried to hug me last time."
1682,What are we doin' here?,what the hell are we doing here?
1683,"He thinks he's a real bad-ass, Jackson.",he thinks he's a real gun Jackson.
1684,Why do you think it's BS?,why do you think this is stupid?
1685,I could not make this shit up if I tried.,I can't build it even if I want to.
1686,Today you're wasting my motherfucking time.,you're wasting my time today.
1687,"It's like, if you donate a coat to the salvation army, you can't be upset when you see a hobo having sex with it on the street.","it's like you're donating a Salvation Army coat, you can't be pissed off to see a homeless man taking him out on the street."
1688,"If you can, try and hit it at your mother's backhand.",try playing your mother on the backhand.
1689,You asked me to fight this damn war.,you pushed me into this war.
1690,"She sucks up all my coffee. ""And I don't see you leaving with any of this alleged grief you're sharing.","""you drink the coffee, and it doesn't feel like you're leaving, and there was that shared grief on your shoulders."
1691,"We stop the pleural effusions, your liver almost fails.","we stopped the blood leak in your chest, your liver almost failed."
1692,Shall I tell you something? In a country with 3 or 4 million unemployed Demanding 250 Francs for 3 lukewarm pizzas - that's indecent.,there are nearly 4 million unemployed in this country... 250 francs for three fucking pizzas?
1693,"Last time, you fucked up.",you screwed up last time.
1694,Every time Herb looks at you he's pretending you're wet and naked.,because he's always got you sweaty and naked.
1695,"We set Noah on fire-- What? -- and when they come to put him out, we overpower them.","we burn Noa...... what?... and when they come to carry it, we'll beat them."
1696,I didn't know whores were so philosophical.,I didn't know the puppies were so philosophical.
1697,You should have heard the shit Kay told me.,you should have heard what Kay said about him.
1698,So maybe you just don't understand who the fuck I am.,so maybe I don't understand who the hell I am.
1699,"He was trying to surprise me, or sweep me off my feet, and so, somehow, he got a hold of this ring, and it has landed him in a pile of trouble.","he tried to... surprise me, or put me on his butt, and he sort of got into this ring, and that put him in trouble."
1700,A part from the smoking and the drinking... and the vulgar mother and the verbal diarrhea.,"except for the smoking, the drink, the vulgar mother..."
1701,"Oh, for fuck's sake, Carrie.","oh, my God, Carrie, what is it?"
1702,We're done fighting for a hole with a half dozen psychopaths living in it.,we ended up fighting for a hole-and-a-half-a-dozen psychopaths that live in it.
1703,Now get your britches off.,get your butt out of here.
1704,"I do have more important shit to worry about right now, okay?",I have more important things to worry about.
1705,"The scared look never left her face, and Lloyd wondered wearily what sort of shit was up in the fan now.","her face didn't make the startled expression, and Lloyd wondered wearily how much trouble it was hanging in the air."
1706,Did I get you with my witch nail?,did I hit you with my witch nail?
1707,"As per your orders, Director Wynn, if your vital signs flatline for any reason, the device will uplink and detonate the HEAT-16 bombs.","as you wish, Mr. Wynne, as soon as you stop your vital signs, the device will join the HEAT-16 bombs and burn them."
1708,Holy shit!,oh my God!
1709,"Only a few of the most conservative Old Vor families still held out for the old ways, a custom upon which Miles's own mother had vented the most violently acerbic criticism he'd ever heard from her lips.","only a few of the world's most conservative Vor families were still practising that method, over which Miles's mother had always taken a critical twist on her head and uttered the most ridiculous remarks he had ever heard from her."
1710,I'm wondering what the hell is this?,what the hell is this?
1711,"From man-to-smaller-man, you're never going to get over this childish infatuation with Jess until you find a girl who looks up at you with little puppy-dog eyes and says the words, ""Your tiny little cock tastes like marmalade, Finlay.""","you'll never make it to Jess until you find a girl who looks up to you with puppy eyes and tells you, ""Your little birdie tastes like marmalade, Finley."""
1712,"Prince Erik is an indicated criminal, and we demand his immediate return.",Prince Erek is a criminal and we demand his immediate return!
1713,"Yeah, whoever this traitor is... they're either on the president's detail or in a key liaison position.","yeah, whoever the traitor is, he's either within the scope of the president's detail, or in a key position."
1714,Wing nut.,crazy.
1715,You don't think I'm smart enough?,do you think I'm stupid?
1716,"""You mean that talking bird joke I was going to tell you, about the kid in school who had the talking bird who","""you mean the joke about the talking bird I was going to tell you about the boy in school who had a talking dick who turned himself into an alcoholic and became a missionary?"
1717,"'Marcus reckons he's done it with two lesbians, lucky sod.",'Marcus said he did it with two lesbians.
1718,"I would suggest that you cut their hands, because that is all they contributed","in case he wanted to punish those who helped me, I would suggest you cut their hands, 'cause that was their only contribution."
1719,"I'm telling you, it's the triple killer.","I'm telling you, he's a triple murderer."
1720,We came here to find evidence the movie Grave Encounters real. fuck all really.,"we came and we have evidence that the ""Grave Encounters"" movie is real."
1721,"You know, when a guy decorates your neck?",when your lover gives you a neck.
1722,Things are running outside and I feel so useless in here.,"it's all running out there, and I feel so unhelpful."
1723,Eric and I could stand to get some butts in the door.,Eric and I could get some people in.
1724,But he loves feeling the tip of your nose in the seat of his pants.,but he likes to feel the tip of your nose at your butt.
1725,Apparently I'm stupid enough to have trusted you.,obviously enough to trust you.
1726,How's it feel to be so goddamn right?,how does it feel to be right?
1727,Isn't this fucking great?,isn't this amazing?
1728,Did you know that Kiki offered a mint-flavored blow job?,did you know that Kiki offered a mint?
1729,This is proof he feels my boot very close to his backside.,this is evidence that they feel my boots very close to their back batches.
1730,Better die than to do him harm by Davey.,I'd rather die than do something to hurt Davy.
1731,Poor fool.,poor guy.
1732,"Now, I don't want your temper making heroes out of folks that would otherwise just let it be.",I don't want you to be the useless heroes of people who would otherwise look at their own.
1733,I'd bloody love her to be widowed.,I'd really want her to be a widow.
1734,"It's a silly, stupid farce, and it's not funny.",it's a farce and it's not funny.
1735,We're fuckin' back.,we're fucking back!
1736,I wouldn't want you to get a nasty burn.,because I don't want you to burn it.
1737,"You're like a hungry woman lying on the prowl, but you listen to things, and you smell everything.","you're like a hungry woman who sneaks up quietly, but you hear everything, you feel everything."
1738,That once-keen brain was fuzzy; all that was left was her conceit and her overpowering confidence in herself.,"her old brain was foggy, and there was nothing but vanity and incredible self-confidence."
1739,That's why they made mestab him in the throat.,that's why they ordered me to stab him in the throat.
1740,"""Every religious crackpot from here to Maine has made that proclamation at one time or another.""","""every crazy religious zealot from here to Maine has said it."""
1741,I will have you removed.,I can take you away.
1742,"Damn, where are they?",where are they?
1743,"Yeah, once you .the lay of the land, you could fire the lazy ones, but you had to spend time looking for somebody new, : was always the devil-youknewversusthe-devil- n't.","sure, once you got geared up, you might have fired your lazy asses, but then you spent a lot of time looking for others, and then you decided to keep the one you know or take someone who might be the same and you don't even know him."
1744,And the pee pees listen to you?,and he listens to you?
1745,"You know, they smile and then they stick it to you.",they smile and stab you in the back.
1746,"My wife left me for another woman, and my girlfriend made me leave at gunpoint.",sure. My wife ran away with another woman and my friend left her a penis.
1747,"If your father knows I got you into such shit, I won't be able to stay in this business anymore.","when your father knows what you've gotten yourself into, I'm not going to be able to feed anymore."
1748,Raw wheat... raw rice and raw eggs... ...make them rot away... by putting them in your mouth.,raw wheat... raw rice and raw eggs...... we'll let them rot... and we'il put them in your mouth.
1749,"Now, imagine the Castle... where anyone who collaborated knew he'd be shot.","so, imagine a castle...... where any collaborator knows he'll be shot."
1750,"David, that's pathetic.","oh, David, that's sad."
1751,I may die directly.,I could die in a minute.
1752,You were brainwashed.,he's brainwashed you.
1753,I'm too pregnant for lugging around a stupid massage table.,I'm too pregnant to have a massage table.
1754,And what's so important about a stupid goldfish?,what's so important about that cute little goldfish?
1755,"He fails at everything, has asthma and despised by everyone around him... surviving at the bottom of the food chain in a real estate company","he's a failure in everything, he has asthma, and everyone around him despied... he's living at the bottom of a food chain in a real estate company."
1756,I got a former fat girl with no self-esteem. A girl who punishes her father by sleeping around. An alcoholic who's two tequila shots away from letting you wear her like a hat.,"I have a passionate ex-backlash with no self-respect, a girl who punches her father by sleeping with each other, and an alcoholic who is 2 shots of tequila away from letting you wear it like a hat."
1757,"I used the same fuckin' soap you did, and when I finished, the towel didn’t look like no goddamn maxi-pad !","I washed myself with the same soap, and the towel I wiped out, he certainly doesn't look like a liner."
1758,"Dated a bitter communist for a while, which was fun.","I dated a cruel communist, that was fun."
1759,Escort this lady to the infirmary.,escort this lady to hell.
1760,Is that what you're saying? You're saying I got no brains?,are you saying I don't have a brain?
1761,"Oh, Annie, screw him! There are guys out there that would kill to be with you.",there's men out there who would kill to be with you.
1762,I might have killed the Fingermen that attacked you. I heard no objection.,"I didn't have to kill Inreformers then, but I didn't hear any objections."
1763,I've seen that the Blacks can be made tractable and docile... But you have to be both firm and kind with them.,I know blacks can be pliable and obedient... but they need to be strict and kind.
1764,Gay show-shock at the Staffelsee?,"""gay Show-Shock"" in Staffelsee?"
1765,"You think just because it's the last day of school, you can sit and socialize the entire period?","you think because it's the last day of school, you can sit on your ass with your girl?"
1766,Or that shot of the cook in Hunt for Red October.,"or shooting a chef in ""Hon on the Red October."""
1767,So now I can't give you her hours without fucking up honest casework.,so I can't give you her hours now so I don't get involved in a real case.
1768,"Don't you think if they just tried to kill someone,",I don't think they're trying to kill anyone.
1769,Then him and his men they shot him.,then he and his men... shot him.
1770,I'm fucking outta here.,I'm out of here.
1771,It's going crazy.,he's crazy.
1772,"Dude, your sister's kind of hot.","dude, your sis is quite a piece."
1773,Kid will die in prison.,the boy's in jail.
1774,"When that damn dog barks, I've had it.","when the dog clears, they get me."
1775,I wish I had enough poison for the whole pack of you.,I wish I had enough for all of you.
1776,"I confess I'm one of your most avid readers, but this is by far the silliest story you've ever told.","I have to admit I'm a loyal reader, but this will be the most ridiculous thing you've ever written."
1777,"The rule is that you can seduce them and if I smell fish franþuze, be your slave.","and there's a rule that if you seduce them and give them a French kiss, they become your slave."
1778,"See, even shit-brick knows you should do it.",even Poser knows you should do it.
1779,"You veer off, you kill a bunch of seniors and toddlers.","the car goes off the road, you kill a couple of seniors and kids."
1780,To hell with good for nothing Halima.,it's absolutely nothing to do with Halima.
1781,'She calls it disgusting!' shouted Gammer Brevis.,'she says it's scandalous! 'She shouted to her ear.
1782,"Mommy, why is my daddy so mad?","mom, why is dad acting like a lunatic?"
1783,"Xanthippe Lannister Voorhees, how about you mind your own damn business?","Xanthippe Lannister Voorhees, why don't you mind your own business?"
1784,Kill their families.,even their families.
1785,"Hit that there jump, launch in and take out as many of my friends... and as much of their home as possible.","hitting that jump, flying and hitting as many of my friends as possible."
1786,If I say okay will you close the fucking door?,"if I agree to you, will you close the door?"
1787,"Hopper, where the hell have you been?","Hopper, where are you hanging?"
1788,"You grab a sharp sword by the blade, you get hurt.","grab a sharp sword with your bare hand on the blade, and you will freeze to death."
1789,Your thugs.,your robbers.
1790,Why do you have to bring sex into everything?,why do you have sex in everything?
1791,You're more like the woman who ate the woman I married.,you're more of a woman who ate the woman I took.
1792,I am so tired of you.,I'm sick of you.
1793,"Oh, it was a great fucking story.","yeah, that's a great story."
1794,He's just a poor kid from the stupid ages.,he's just a poor boy from primitive times.
1795,Cable is yellow.,cable's a coward.
1796,She thinks he's a pig.,she thinks she's a hoot.
1797,"They're being slaughtered out of sight and mind,",they were beaten away from sight and minds
1798,"Hey! What's on your shirt there, Pigpen?","hey, what's on your shirt, pig?"
1799,That's probably because for a minute you forgot that I was a fascist cop.,I guess that's why you forgot I'm a sadistic cop.
1800,I might try out for baseball even though I suck. - Yeah?,"I could try out some baseball, even if I'm in it for nothing."
1801,If I have any of that crap... ..it's because you brought it to my house and left it there.,"a sentimental relationship? If I have any of this stuff in my house, it's because you brought it in and forgot."
1802,Stole a pair of dog testicles from the biological waste bin at the vet earlier today 'cause I figured you'd double-cross me?,to steal a couple of dogs from bio-waste today at the vet when I figured you'd try to play me down?
1803,The guy jerks off seven times a day.,he's been chasing him 7 times a day.
1804,Three billion red Chinese don't give a damn.,three billion ruds of Chinese don't care.
1805,Those are a bunch of jealous people who make a living appealing to our basest desire to see each other kicked while we're down.,it's a bunch of envious people living on our most basic desire to see others digging around when we're at the bottom.
1806,"For Christ's sake, Andrew, stop mucking about !","for God's sake, Andrew, stop being crazy!"
1807,So are you a pair of ninja assassins?,so... are you a couple of ninja killers?
1808,"Yes, I actually put a little bit of salt in everything, including the whip.","yes, I fucked things up a little bit, and whipped cream."
1809,Or I got to find another schmo to invest 30 grand.,"or I'll have to find another jerk to invest in 30,000."
1810,He got stoned and broke his butt bone.,he got high and broke his hip.
